Autor,Titel,Tags,Text
Prof. Dr. Andrea Back,"Khan Lab School – Im Silicon Valley wird Schule neu erfunden (Interview Teil 1 von 4),Weitere Artikel",Learning Innovations,"Dass Online-Shops Ladengeschäfte aufmachen, sie aber ganz anders als traditionell gestalten, das kennt man inzwischen. Wenn aber ein reiner Online-Lerndienstleister wie die Khan Academy eine Präsenzschule gründet, lässt das aufhorchen: Welche Schultraditionen werden über Bord geworfen? Was wird – von digitalem Grund auf – völlig neu gedacht und gemacht? Erfahren Sie dies in einer 4-teiligen Serie von kurzen Interviewsequenzen direkt von Dominic Liechti, dem Direktor der Khan Lab School, Mountain View (in deutscher Sprache):,(Teil 1 von 4 – 4:48 min) Hätten Sie gedacht, dass digitale Technologie die Verwirklichung altbekannter pädagogischer Ideale ermöglicht? Wird im Silicon Valley der Unternehmergeist schon in der Schule geweckt? Und warum bei aller Digitalisierung der „Human Touch Layer“ – sprich die Lehrpersonen – weiterhin zentral sind., , ,
						,Prof. Dr. Andrea Back,
							,Learning Innovations"
Prof. Dr. Andrea Back,"Unsere Mobile Business Studie 2017 – Mit agiler Innovation zu Next Generation Mobile Business,Weitere Artikel",Mobile Business,"Gemäss der ,“Agilitätsstudie 2017” von Haufe, betrachten Führungskräfte die Sicherung des Innovationsvorsprungs als eine der grössten Herausforderungen von Unternehmen in der DACH-Region (46% im Vergleich zu 35% in 2016). Das führt dazu, dass Grossunternehmen für ihre Innovationsprozesse zunehmend Methoden und Konzepte übernehmen, die im Umfeld von Startups, Designern und Softwareentwicklern mit Schwerpunkt Digitalen Technologien entwickelt wurden (Lean Enterprise von Startups, Design Thinking von Designern und Agilen Methoden von der Softwareentwicklung). Führungskräfte und die Leitung von Innovation Units sind interessiert an zeitgemässen Prinzipien und Methoden, um zukünftige Innovationsprojekte erfolgreicher zu gestalten und führen.,In unserer Mobile Business Studie 2017 untersuchen wir, wie Innovationen im Digital Age gestaltet werden – was ist heute schon neu im Vergleich zu vor 5 Jahren und was sind die Möglichkeiten und Good Practices von heute?,Diese Forschungsfragen behandeln wir am Beispiel von Innovationen für Prozessoptimierungen der typischen Arbeitsschritte von Mitarbeitenden, im Spezifischen wie «Fieldworker» durch neue digitale Lösungen bei ihrer Arbeit unterstützt und befähigt werden können (Schnittstelle zwischen Prozessinnovation und neuen Dienstleistungen für den Kunden).,Die Studienergebnisse werden im Rahmen des Mobile Business Forum 2017 am 7. November 2017 in Zürich vorgestellt. Wir würden uns freuen, Sie am Forum zu begrüssen. Weitere Informationen zum Mobile Business Forum erhalten Sie hier: ,https://mbforum.iwi.unisg.ch/,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Prof. Dr. Andrea Back,"Buch „Lean Startup“: Zuhören und Dienen als Geschäftsprinzip,Weitere Artikel",Leseempfehlung,"Viele, die aktuell BWL studieren, sehen sich als Startup-Jungunternehmer. In verschiedensten Kursen wird Eric Ries‘ Buch „The Lean Startup“ zitiert. Darin sind zeitgemässe Managementmethoden, frisch aus den Startup-Ökosystemen, beschrieben. Viele kennen den Titel und nutzen die coolen Begriffe „Smoke Test“, „MVP – Minimum Viable Product“, „Prototyp“ und „Experiment“. Aber man merkt der verbreiteten umgangssprachlichen Verwendung an, dass die Wenigsten das Buch gelesen und die Prinzipien wirklich verstanden haben. Die Lektüre ist lohnend! Allein das erste Drittel zu studieren macht Lust auf Selbstanwendung. Etliche Prinzipien bzw. Denkhaltungen kann man auch in der eigenen Arbeit in verschiedensten Projekten anwenden. Im Zentrum steht die Kundenzentrierung: Wenn man ein Geschäft aufbauen will, dann gilt es den Kunden zuzuhören und dienen zu wollen, und nicht vor allem dem eigenen Ehrgeiz zu folgen, sich mit Technologieeinsatz zu profilieren, was nun einmal in der Natur von Digital-Enthusiasten liegt.,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
Prof. Dr. Andrea Back,"App-Programmierung einfach gemacht,Weitere Artikel",Mobile Business,"Im ,Mai-Newsletter, haben wir verschiedene Plattformen, wo man Programmieren lernen kann, vorgestellt. Diesmal geht es nicht um das eigentliche Programmieren, sondern um die Bausteine einer Applikation. Eine einfache Drag-and-Drop-Plattform für mobile und native Apps bietet ,Thunkable,.,Die Plattform schafft es, mit einem einfachen Design, die App-Gestaltung für alle (auch ohne Programmierkenntnisse) näher zu bringen. Sie bietet sogar die Gesprächserkennung und einfachere Anwendungen von AI an – es scheint, als wären wir nun wirklich im Zeitalter von Chatbots und Sprachsteuerung angekommen. Daher wird es spannend sein, welche Use Cases dafür noch entstehen werden.,Jedem, der schon eine Idee für einen Use Case auf Basis einer mobilen App hat, empfehlen wir, Thunkable näher anzuschauen. Viel Spass!,Bildquelle: ,Pixabay,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Arne Grüttner,"Digitalisierung im Stadion – die Entwicklung einer mobilen Spieltags-App,Weitere Artikel","Digital,Lehrstuhlnachrichten,Sports Digitalization","Trotz der gegenwärtigen Unterbrechung und beabsichtigen Geisterspiele im europäischen Fussball, wird der Sport nach der gegenwärtigen Krise in seine ursprünglichen Formen zurückkehren. Gerade im europäischen Fussball gerät durch die gegenwärtige Ausnahmesituation in Vergessenheit, dass die zunehmende Kommerzialisierung des Sports zu einem sukzessiven Verlust des Bezugs und der Nähe des Fans zum sportlichen Erlebnis führt. Es bedarf daher einer bewussteren Ansprache von Fans, um den Spieltag in seiner Emotionalität und dem Gemeinschaftsgefühl zu stärken und die Fans trotz dieser Entwicklung aktiv in das Spieltaggeschehen einzubinden. Besonders digitale Technologien ermöglichen dabei eine ganz neue Art des Spielerlebnisses.,In diesem Kontext wurde innerhalb eines Kurses des Institutes für Wirtschaftsinformatik eine Gruppe bestehend aus fünf Master-Studenten mit dem Auftrag betraut, die Entwicklung einer Spieltag-App für Borussia Dortmund vorzunehmen.,Entlang des iterativen Design Thinking Prozesses wurde in einem ersten Schritt der Fokus auf das Verständnis des Problems gelegt. In einem ersten Schritt wurde dazu eine Stakeholder-Map mit zentralen Playern entwickelt, ausgehend vom Kern des Netzwerkes, dem Fussball-Fan. Für die Ideenfindung wurden zusätzlich drei Personas mit unterschiedlichen Zielen und Vorstellungen eines Spieltages sowie deren Customer Journey ausgearbeitet. Diese halfen zur Bedürfnisidentifikation sowie zur Ermittlung von bestehenden Problembereichen rund um den Stadionbesuch wie die Anreise zum Stadion, das Auffinden des Sitzplatzes oder das Thema rund um die Verpflegung. Aus einer ersten Phase der Problemdefinition und der Bedürfniserfassung ergaben sich zusammengefasst folgende Implikationen:,Im zweiten Schritt des Prozesses galt es darauf basierend innovative Features zu entwickeln, die diese Implikationen in passender Weise zu adressieren und diese in Prototypen zu überführen. Die Ausarbeitung des Prototypens erfolgte in drei aufeinander aufbauenden iterativen Phasen. In einem ersten Schritt wurde mit einem Value Proposition Canvas und einem Brainwriting erste zehn Ideenansätze wie beispielsweise eine Heatmap für die Warteschlagen, eine Bestellmöglichkeit für die Verpflegung oder die Idee eines Place Preview gemeinsam generiert. Durch eine Marktanalyse bestehender Apps der Bundesliga, der Super League und weiterer Sportarten wurden die entwickelten Ansätze analysiert. Der Fokus wurde dabei auf die Pre-Match Phase gelegt, wodurch sechs Ansätze verworfen werden konnten.,
Die verbleibenden vier Ansätze wurden um zwei zusätzliche Ideenansätze ergänzt und dienten als Ausgangspunkt für die Überführung in konkrete Features in einer zweiten Iterationsschleife. Die nun exitierenden sechs Features wurden nun zu Validierungszwecken mit Hilfe einer Umfrage in Form von Low-Fidelity Prototypen einer breiten Masse präsentiert. Als Feedback daraus resultierte, dass fünf der sechs Features eine breite Akzeptanz bei der relevanten Zielgruppe fanden und somit weitergehend konkretisiert wurden.,
Die Überführung der entwickelten Lösungsansätze erfolgte in eine High-Fidelity Prototypen auf Basis von Adobe Xd in einer dritten Iterationsschleife. Der finalisierte Prototyp wurde einem Experten, Daniele Kohler, Mitarbeiter von Hewlett Packard Enterprise, sowie weiteren Testpersonen vorgestellt und deren Feedback eingearbeitet. Die fünf finalen Features in der App sind ein intelligenter, bedürfnisgerechter Ticketkauf, eine vereinfachte Bestellfunktion für Stadionverpflegung, eine Stadionnavigation sowie ein Tippspiel und Live-Votings, wodurch Fans aktiv am Spieltag mitwirken können. Dadurch wird neben dem Nutzen für Fans auch ein positiver Einnahmenbeitrag für den Verein generiert., Remo Fraefel, Jonas Gisler, Nicolas Saegesser, Tobias Söll, Pascal Mayer,https://www.bvb.de/Fans/Digitale-Welt/BVB-App/BVB-App-fuer-Android-und-iOS,
						,Arne Grüttner,
							,Digital,, ,Lehrstuhlnachrichten,, ,Sports Digitalization"
Lena-Marie Paetzmann,"Storytelling im eLearning Kontext – Tipps für die Praxis,Weitere Artikel","Digital,Future of Work,Learning Innovations,Leseempfehlung,Linktipps","Storytelling gehört sowohl im Unternehmenskontext als auch an der Universität zu einer beliebten Methode, um komplexe Themen auf das Wesentliche zu reduzieren und mehr Begeisterung bei den Lesern, Lernenden oder dem Kunden zu erzeugen. Die Einsatzmöglichkeiten sind sehr divers und so kann Storytelling schon in einer einfachen Mail, bei einem Pitch vor Investoren oder im eLearning Kontext für mehr Aufmerksamkeit sorgen. Mit den richtigen Werkzeugen lassen sich so emotionalisierte Inhalte vermitteln. Die Firma ,hat einen ,Leitfaden, zusammengestellt, und erklärt hierbei wie Storytelling im Unternehmenskontext (z.B. für eLearning Plattformen) angewendet werden kann und zeigt welche Methoden zur Vorbereitung einer guten Story dienen. , Dem , entkommen: Sich seines Expertenwissens bewusst werden und einen Perspektivenwechsel einnehmen, um die Komplexität der Lerneinheit zu reduzieren. Ein beliebtes Tool bei uns hier am Lehrstuhl ist das Anfertigen eines Glossars, um die Fachwörter zu strukturieren und definieren. , Kernaussagen richtig gewichten: je nach Zielgruppe ändert sich das Vorwissen und damit auch die relevanten Kernaussagen der Story. Der Leitfaden empfiehlt hierbei eine Vorwissensskala zu entwickeln. ,Weitere Tipps und Methoden finden Sie im ,Leitfaden,. ,Wir am Lehrstuhl werden uns in nächster Zeit auch näher mit dem Thema Storytelling, insbesondere ,auseinandersetzen. Zum einen schreibt unsere wissenschaftliche studentische Mitarbeiterin Nina Holenstein momentan ihre Masterarbeit zu diesem Thema. Zum anderen arbeiten wir eng mit der Bildungsinitiative Smartfeld zusammen, um Projekte im Bereich Digital Storytelling auch für Schülerinnen und Schüler zu entwickeln. Wir freuen uns auf weitere Beiträge und Inputs zu diesem Thema.,https://www.checkpoint-elearning.de/wissen/die-story-ist-entscheidend-praxisnahe-tipps,https://www.aufgesang.de/blog/visual-storytelling,
						,Lena-Marie Paetzmann,
							,Digital,, ,Future of Work,, ,Learning Innovations,, ,Leseempfehlung,, ,Linktipps"
Prof. Dr. Andrea Back,"Kolumne: Unsere Abwesenheitsmeldungen im eMail sagen mehr als Out-of-Office,Weitere Artikel",Kolumne,"Wann haben Sie das letzte Mal Ihre eMail-Abwesenheitsmeldung neu formuliert? Ich bei meinen letzten Ferien im Sommer. Sie lautete so: “,, mit dem Nachsatz “,. Erstmals erhielt ich darauf eine persönliche Rückmeldung. Eine Kollegin schrieb mir: “S,. Sie ist wohl nicht die einzige, die sich darüber Gedanken macht, wie die eigene Out-of-Office-Notiz lauten soll, Es finden sich dazu auch zahlreiche Beiträge im Netz. Z.B. sinniert dieser Artikel von , ,“The Most Honest Out-of-Office Message”, über einige besondere Exemplare. Darunter ist auch die Variante mit der Ankündigung, dass alle Maileingänge während der Urlaubszeit gelöscht werden. Das ist ganz schön radikal! Aber auch ich habe schon solche Rückmeldungen bekommen, mit der Bitte, dass ich meine Nachricht nach dem Ferienende nochmal senden soll.,Wie fühlt man sich da? Also ich reagierte ziemlich sauer, weil das zwar ein toller Filter für den Empfänger ist, aber auf Kosten meiner Zeit geht. Als sich diese emotionale Erstreaktion beruhigte, konnte ich dem Befreiungsschlag auch Positives abgewinnen. Also sich fügen – nur will man mit seinen E-Mails die To-dos ja auch erledigt und aus dem Kopf haben. In Mailprogrammen gibt es die Funktion, sie zeitverzögert zu senden. Wer das ausprobiert, dem geht es vermutlich wie mir: Es ist in Outlook ziemlich versteckt, und dann traut man der Sache nicht so ganz – wohl zurecht, wie man hier lesen kann: ,Wie man eine E-Mail zeitversetzt versendet,. Da müssen noch User-Experience-Designer Hand anlegen, bevor man geneigt ist, diese Funktion zu nutzen.,Aber zurück zum Feedback “,  von meiner Kollegin. Damit meint sie bestimmt nicht, dass sie so eine Meldung braucht, sondern dass sie sich in den Ferien gerne auch “offline” verhalten würde; sprich der Selbstkundgabe-Gehalt ist ein anderer als die Sachaussage. Das lehrt uns ja das ,Vier-Ohren-Kommunikationsmodell, von Schulz von Thun. Dieses eignet sich auch hervorragend, wenn man seine Out-of-Office-Meldung sehr überlegt formulieren will: Fragen Sie sich, was in Ihrer automatischen Mail-Antwort drin stecken sollte, und was nicht hinsichtlich: Sachaussage – Selbstkundgabe – Beziehungsaspekt und Appell. Ich bin überzeugt, dann kommt eine Neuformulierung heraus. Teilen Sie uns Ihre doch gerne in der Kommentarfunktion mit, und dann natürlich schöne Ferientage!,
						,Prof. Dr. Andrea Back,
							,Kolumne"
Lena-Marie Paetzmann,"Angstbefreites Scheitern – ein Interview mit Prof. Dr. Andrea Back in der HZ,Weitere Artikel","Digital,Lehrstuhlnachrichten","HZ – Handelszeitung,Isabel Steinhof  ,Digitale Innovationen unterscheiden sich schon bei der Entwicklung von herkömmlichen Innovation. So geht man bei digitalen Innovationen agil vor und verinnerlicht die Prinzipien des Design Thinking und Lean Startup, wie Testfreudigkeit, Kundenorientierung und angstbefreites Scheitern.,In den vergangenen Monaten haben wir am Lehrstuhl einen Fragebogen zur Innovationskultur forschungsbasiert entwickelt. Zugleich ist er mit nur zwanzig Fragen in den sechs Gestaltungsbereichen Interaktion, Mut, Laissez-faire, Fokus, Leistungsorientierung und Heterogenität, in der Praxis gut einsetzbar. Im nächsten Schritt geht es im Sinne eines Vorprodukts darum, das Instrument mit einer grösseren Zahl von Unternehmen anzuwenden und zu reflektieren. ,
						,Lena-Marie Paetzmann,
							,Digital,, ,Lehrstuhlnachrichten"
Christian Marheine,"High-Resolution Prototyp für das Gesundheitswesen,Weitere Artikel","Digital,Lehrstuhlnachrichten,Linktipps,Mobile Business,Praxisprojekt,Smart-IoT","In diesem Frühjahrssemester haben unsere Masterstudierenden in unserem Kurs zu «Smart IoT & Mobile Business» vier High-Resolution-App-Prototypen entwickelt. Die Projekte wurden in den Bereichen Gesundheitswesen, Landwirtschaft, Coaching und Sport durchgeführt. Zum Beispiel hat das Team in der Kategorie Gesundheitswesen eine Lösung namens «Physio Care» konzipiert. Die Lösung bringt den Menschen eine individuell zugeschnittene Physiotherapie nach Hause. Wie das funktionieren soll? Die Studierenden haben die gesamte Physiotherapie-User-Journey einiger Patienten beobachtet. Dabei haben sie viele Touchpoints identifiziert, die digitalisiert werden können und dadurch transparenter und effektiver gestaltet werden können. Für die Lösungsentwicklung wurden die 5 Prozessschritte des Design Thinking durchlaufen und regelmassig mit einem Supervisor unseres Lehrstuhls reflektiert. Der finale Prototyp ist eine Applikation, die sowohl von Physiotherapeuten vom PC aus für die Verwaltung von Patienten und Uploads neuer Übungsvideos genutzt werden kann, als auch von den Patienten als mobile App. Letztere zeigt den Patienten ihren Therapie-Fortschritt, ihre Vitaldaten, und ermöglicht ihnen Zugang zu Videomaterial für Übungen und eine professionelle Kommunikationsschnittstelle zu ihren Therapeuten. Die Studierenden würden die App als professionelle, geschlossene Plattform launchen, sodass nur Physiotherapeuten berechtigt sind ihren Patienten einen Zugriff auf die App zu gewähren und Übungsvideos hochzuladen. Auch haben die Studierenden den Business Value bestimmt und sogar eine Roadmap definiert.,http://tiny.cc/PhysioPrototyp,
						,Christian Marheine,
							,Digital,, ,Lehrstuhlnachrichten,, ,Linktipps,, ,Mobile Business,, ,Praxisprojekt,, ,Smart-IoT"
Christian Marheine,"Save the Date! Am 14. Mai 2020 findet der nächste Smart IoT & Mobile Business Forum Day statt.,Weitere Artikel","Digital,Lehrstuhlnachrichten,Mobile Business,Smart-IoT","Es ist wieder soweit. Die Vorbereitungen für unseren alljährlichen Smart IoT & Mobile Business Forum Day haben begonnen. Die Award-Gewinner im letzten Jahr waren Midor in der Kategorie Smart IoT und Phonak/ Sonova in der Kategorie Mobile Business. Der nächste Event wird am ,im, stattfinden. ,Hier geht’s zum Save the Date!,Unser Smart IoT & Mobile Business Day ist dafür bekannt allen Teilnehmern ein breites Rahmenprogramm mit spannenden Einblicken in die aktuellsten Themen und Technologien Rund um das Internet der Dinge (IoT) und mobile Geschäftsanwendungen zu bieten.,Freuen Sie sich also auch im nächsten Jahr spannende Gespräche mit fortschrittlichen Denkern und digitalen Machern, die Innovationen in der Schweiz und weltweit vorantreiben, zu erleben. Wie bereits im letzten Jahr wird der Grossteil des Programms aus interaktiven Elementen bestehen. Nicht nur die Einreichungen werden von ihren Unternehmensvertretern in kleinen Gruppen vorgestellt und diskutiert; auch unsere Partner werden ihre neuen Technologien und Anwendungen in kleinen Gruppen vorstellen – und das zum Anfassen. Das Ziel dieser Workshops liegt darin einen grösseren Mehrwert für alle Teilnehmer zu schaffen und neue Technologien hautnah zu erleben.,https://www.empa.ch/documents/56024/90256/SolAce_Opening.jpg/650ed1a8-285f-4a24-a328-d8d070797ad6?t=1537363704804,
						,Christian Marheine,
							,Digital,, ,Lehrstuhlnachrichten,, ,Mobile Business,, ,Smart-IoT"
Prof. Dr. Andrea Back,"Verhältnis Digitalisierung in Deutschland vs. USA – wo sind die Unterschiede?,Weitere Artikel",Digital,"Digitale Transformation und Zusammenarbeit mit Startups in Großunternehmen in Deutschland und den USA,“ zusammen mit YouGov und der GfK durchgeführt. Hierzu wurden rund 300 Entscheider in Unternehmen mit mehr als 250 Millionen Dollar Jahresumsatz befragt. Das Resultat ist relativ ernüchternd: Während in den USA mehr als 85% sich mindestens “gut” auf die digitale Transformation vorbereitet fühlen, sind es in Deutschland nur rund 35%.,
,Es gelingt den hiesigen Unternehmen meist noch nicht, dieses Wissen auf die gesamte Kernorganisation zu übertragen und die Mitarbeitenden für die Digitalisierung zu motivieren. Mit Blick auf den Rückstand auf die USA bei der Entwicklung digitaler Geschäftsmodelle ist dies ein gefährlicher Zustand“, so Philipp Depiereux, Gründer und Geschäftsführer von Etventure. Nichtsdestotrotz zeigen die Studienresultate auch, dass sich im Vergleich zu 2016 auf unserer Seite des Atlantik einiges getan hat und somit die digitale Transformation bei 50% der Grossunternehmen eines von drei Hauptzielen für 2017 ist (2016: 41%).,
,Der wohl grösste Hemmfaktor in Deutschland ist die Verteidigung bestehender Strukturen, die schlussentlich das Vorantreiben der digitalen Transformation bremsen (2017: 65%). „Dass in den USA interne Widerstände deutlich seltener als Problem gesehen werden, lässt sich teilweise damit erklären, dass mehr als jedes zweite Grossunternehmen in den USA (57%) schon heute eine digitale Geschäftseinheit besitzt“, sagt Philipp Depiereux. „In Deutschland ist es nur ein Drittel (33%)”. Der Digital Maturity & Transformation Report 2017 von Sabine Berghaus und Prof. Dr. Andrea Back, der im April 2017 veröffentlicht wird, wird einige Ansatzpunkte für Unternehmen im deutschsprachigen Europa aufzeigen, die von grossem Interesse sein dürften. Weitere Informationen dazu finden Sie hier: ,https://aback.iwi.unisg.ch/kompetenz/digital-maturity-transformation/,.,
,Bildquelle: ,Pixabay, ,
						,Prof. Dr. Andrea Back,
							,Digital"
Prof. Dr. Andrea Back,"Wer ist eigentlich der Wettkönig zu 3D-Welten?,Weitere Artikel",Kolumne,"Es ist Oktoberfestzeit; das ikonische hierzulande ist die OLMA in St.Gallen. Jeden Tag ist ,Säulirennen,, bei dem 15 Rennsauen zum Futtertrog um die Wette laufen. Die Vorfreude auf diesen Wettspass hat die Erinnerung an eine seit 2009 laufende Wette aus dem Kreis meiner E-Learning-Fachfreunde geweckt. Darin geht es um eine Zukunftsbehauptung, ob und wie die damals gehypte 3D-Technologie bis in 10 Jahren unseren Alltag prägen würde. In diesem sind wir 2019 ja nun angekommen.,Vorhersagen über technische Entwicklungen wurden schon immer gerne gemacht. Nur, wie auch der Kabarettist Karl Valentin meinte, sind Prognosen schwierig, besonders wenn sie die Zukunft betreffen. Selbst renommierte Experten lagen damit schon mächtig daneben. Hier findet man eine ,Sammlung der spektakulärsten Fehlprognosen der IT-Geschichte. ,Sogar 100 Jahre voraus Schauen haben Futuristen gewagt und sich in 1900 vorgestellt, wie das Leben in 2000 aussehen würde. Zwei meiner Lieblings-Zukunftsbilder aus der Serie ,«En l’an 2000», sind diese:,Beim einen herrscht am Himmel über Paris Flugobjekt-Verkehrsstau, beim anderen haben sich die Leute motorisierte Schuhe unter die Füsse geschnallt. Auf Passagierdrohnen warten wir ja noch; mit den E-Scootern ist die Vision der Schuhe mit Motorantrieb jedoch durchaus so eingetroffen. Nun, wie einfach ist zu entscheiden, wer folgende Wette aus 2009 gewonnen hat? «,» (T. Glatt). «,» (M. Lindner). «,» (D. Stoller-Schai). Schauen Sie sich im Videomitschnitt an, wie der Wortlaut und die Positionen genau verhandelt werden. Immerhin geht es um eine Kiste Barolo – zu Schweizer Preisen.,Die Herren haben mir die Schiedsrichterrolle überlassen. Gerne frage ich noch die Community um ihre Meinung, bevor ich mein Urteil abschliesse und verkünde: «And the Winner is …».,P.S.: Dieser denkwürdige Moment ereignete sich übrigens nicht auf dem oben genannten OLMA-Oktoberfest, sondern bei einer intellektuellen Wanderung in den hiesigen Bergen: Dem «Alpen-Salon», von mir in Anlehnung an ,die Salonkultur des 19. Jahrhunderts, so genannt. Ein Regenguss auf dem Weg zur Schwägalp veranlasste uns zur Einkehr in die Plattenbödeli-Hütte für eine Bier- und Jausenpause, der nun diese Kolumne zu verdanken ist.,https://www.vaterland.li/liechtenstein/vermischtes/Namen-fuer-Rennsaeuli-gesucht;art171,217626 ,
						,Prof. Dr. Andrea Back,
							,Kolumne"
Prof. Dr. Andrea Back,"Smart IoT & Mobile Business Awards 2019: Zeit zum Einreichen bis 15. April,Weitere Artikel","Mobile Business,Smart-IoT","Die reguläre Frist für die Einreichung von Bewerbungen für den Smart IoT und den Mobile Business Award 2019 rückt näher. Noch bis zum 15. April können Unternehmen oder Dienstleister mit Kundenprojekten, bei denen sich der Einsatz von IoT-, Smart-IoT- oder Mobile Solutions Geschäftsprozesse verbessert oder transformiert hat, ihre Bewerbungsunterlagen ,hier, hochladen. Bitte ,melden Sie sich per Mail beim Award-Team,, sollten Sie eine Verlängerung von wenigen Tagen benötigen. Die bis zu 10 besten Bewerber dürfen ihre Lösung an unserem Forum Day bei unserem Location Host Namics – A Merkle Company, St. Gallen, (geplant ist Do 6. Juni) präsentieren und zwei Unternehmen werden mit den beiden Awards prämiert.,Auf eine hochkarätige Besetzung freuen wir uns dabei nicht nur unter den Einreichungen, sondern auch in unserer Jury. Bereits zugesagt haben ihre Teilnahme am Jurytag im Mai und in der Jury, wobei Internationale Experten und wer am Jurytag nicht präsent sein kann als Associate Jury bei der Begutachtung mitwirken:,Ihnen allen möchten insbesondere die Jurypräsidentin Prof. Dr. Andrea Back und das Award Team schon jetzt herzlich danken!,
						,Prof. Dr. Andrea Back,
							,Mobile Business,, ,Smart-IoT"
Prof. Dr. Andrea Back,"Digital Maturity & Transformation Report 2017,Weitere Artikel",Lehrstuhlnachrichten,"Firmen mit einem hohen digitalen Reifegrad gehen die digitale Transformation experimentierfreudig oder mit einer klaren Strategie an, während Unternehmen mit niedrigem Reifegrad zunächst an ihre IT denken. Zu diesem Ergebnis kommt der Digital Maturity Check 2017, welcher am Lehrstuhl von Prof. Dr. Andrea Back am Institut für Wirtschaftsinformatik der Universität St.Gallen zusammen mit der Managementberatung Crosswalk AG durchgeführt wurde. 662 Personen in der Schweiz, Deutschland und Österreich nahmen an der Studie teil.,«Das Ergebnis, dass Unternehmen mit hohem Reifegrad eine komplett andere Herangehensweise an die Digitalisierung wählen als Unternehmen mit niedriger digitaler Reife, war eine Überraschung», sagt Sabine Berghaus, Projektleiterin der Studie. «Dies weist darauf hin, dass digital reife Firmen den Veränderungen im Zeitalter der digitalen Transformation offen und experimentierfreudig entgegentreten.» Dagegen ergab die Studie, dass Unternehmen mit niedrigem digitalem Reifegrad eher bottom-up bestehende Initiativen zusammenführen oder sich zunächst auf die Erneuerung ihrer IT-Systeme konzentrieren, bevor neue Geschäftsmodelle oder Innovationen vorangetrieben werden.,Insgesamt stieg der durchschnittliche Reifegrad im Vergleich zum Vorjahr an. Bei Grosskonzernen (mehr als 10‘000 Mitarbeitende) zeigten sich die höchsten Reifegrade. Kleine Unternehmen liessen im Vergleich zum vergangenen Jahr nach und wiesen die geringsten Werte auf.,Positiv beurteilen die Expertinnen Andrea Back und Sabine Berghaus die Entwicklung in der Industrie, die den höchsten Anstieg sowohl bei der Zahl der Teilnehmer an der Studie wie auch im Reifegrad zeigten. Dagegen wurden bei Unternehmen aus dem Handel und der Konsumgüterwirtschaft die insgesamt niedrigsten Reifegrade beobachtet.,«Als Grund für die niedrigen Reifegrade sehen wir vor allem das fehlende (Spezial-)Wissen, wie man mit den Veränderungen – die die Digitalisierung gebracht hat und noch bringen wird – umgehen soll. Denn Erfahrung und Fachwissen, die diese Unternehmen bisher erfolgreich gemacht haben, reichen heute und erst recht für eine erfolgreiche Zukunft nicht mehr aus», sagt Axel Kehl von Crosswalk.,Wie bereits im vergangenen Jahr bewerten digital reife Unternehmen ihren Erfolg vor allem in den Zielen Kunden- und Mitarbeiterzufriedenheit positiver. Auch die Zielerreichung in den Kriterien Innovationsführerschaft und die Erschliessung neuer Geschäftsfelder werden deutlich besser bewertet als in Unternehmen mit einem niedrigen digitalen Reifegrad.,Die dritte Auflage des Digital Maturity & Transformation Reports mit Informationen zum Modell, den Resultaten der Befragung inklusive branchenspezifischen Auswertungen und Handlungsempfehlungen kann kostenlos unter ,www.crosswalk.ch/dmtr2017, bestellt werden.,
						,Prof. Dr. Andrea Back,
							,Lehrstuhlnachrichten"
Arne Grüttner,"Die Digital-Entrepreneurship-Werkstatt auf der LEARNTEC2020,Weitere Artikel","Digital,Learning Innovations,Lehrstuhlnachrichten","Wir durfen die ,Digital-Entrepreneurship-Werkstatt, auf der LEARNTEC2020 vorstellen. LEARNTEC ist die größte internationale Fachmesse für digitale Bildung in Europa. Mit 411 Ausstellern aus 17 Nationen präsentierte sich die LEARNTEC2020 noch internationaler, innovativer und größer als in den Vorjahren. Eine Rekordzahl von 15.600 Besuchern informierten sich in der Messe Karlsruhe zu den neuesten Lerntrends.,Prof. Dr. Andrea Back, Arne Grüttner und Nina Holenstein standen am Stand des Smartfeldes Interessierten mit Unterrichtsmaterialien und einem Kurzworkshop der Digital-Entrepreneurship-Werkstatt zur Verfügung.,Materialien zum Download und mehr Informationen zur Digital-Entrepreneurship-Werkstatt finden Sie hier: ,https://entrepreneurship-werkstatt.ch/,
						,Arne Grüttner,
							,Digital,, ,Learning Innovations,, ,Lehrstuhlnachrichten"
